,B2,B3,B4,B5,B6,B7,type
0,473,725,827,1631,1318,1078,Vegetation
1,441,732,451,4624,2017,956,Vegetation
2,348,644,540,2704,1469,793,Vegetation
3,324,571,481,3040,1485,755,Vegetation
4,354,552,507,2857,1522,849,Vegetation
5,415,723,702,2779,1351,872,Vegetation
6,347,620,524,2876,1490,820,Vegetation
7,327,520,498,2640,1501,838,Vegetation
8,347,692,500,3919,1795,933,Vegetation
9,438,791,560,4035,1846,948,Vegetation
10,380,709,546,3456,1727,920,Vegetation
11,597,824,856,3223,1734,1183,Vegetation
12,342,724,446,4361,2040,1002,Vegetation
13,318,625,556,2801,1038,656,Vegetation
14,382,671,582,2812,1481,817,Vegetation
15,382,658,488,3814,1643,860,Vegetation
16,378,674,515,3276,1741,946,Vegetation
17,455,769,469,4591,1999,972,Vegetation
18,439,754,640,2738,1682,1007,Vegetation
19,388,667,611,2591,1589,987,Vegetation
20,434,695,748,1923,1494,1098,Vegetation
21,407,753,573,3882,2013,1202,Vegetation
22,563,886,933,2719,1920,1413,Vegetation
23,513,784,708,2912,1656,1029,Vegetation
24,404,775,505,4430,1950,1004,Vegetation
25,444,732,445,4657,2002,973,Vegetation
26,291,595,430,3489,1313,668,Vegetation
27,282,569,421,3470,1251,644,Vegetation
28,456,732,480,4185,1940,970,Vegetation
29,329,664,448,4174,1604,774,Vegetation
30,349,696,473,4049,1649,797,Vegetation
31,302,590,445,3497,1430,736,Vegetation
32,365,668,458,3858,1541,779,Vegetation
33,435,704,523,3513,1781,952,Vegetation
34,429,770,663,3357,1809,1053,Vegetation
35,317,599,474,3368,1375,728,Vegetation
36,418,706,460,4330,1647,833,Vegetation
37,388,738,519,4091,1846,1024,Vegetation
38,365,753,491,4066,2073,1068,Vegetation
39,442,691,582,3511,1730,1024,Vegetation
40,424,700,530,3956,1728,898,Vegetation